date,open,high,low,close,volume
2016-10-10,120.16,120.42,119.92,120.15,3549585
2016-10-11,119.92,120.16,119.53,119.56,4372434
2016-10-12,119.72,120.07,119.289,119.73,3977315
2016-10-13,120.0,120.42,119.8,120.02,5643314
2016-10-14,119.37,120.16,119.29,119.35,5269706
2016-10-17,119.7,119.92,119.58,119.67,2611140
2016-10-18,120.08,120.64,119.82,120.4298,3947020
2016-10-19,121.13,121.4565,120.89,121.09,4233250
2016-10-20,121.39,121.59,120.63,120.76,4882821
2016-10-21,120.9,120.925,120.55,120.84,5632276
2016-10-24,121.28,121.3,120.16,120.575,4094903
2016-10-25,120.89,121.76,120.855,121.47,4745970
2016-10-26,121.37,121.53,120.61,120.79,3087224
2016-10-27,121.11,121.18,120.75,121.03,2941979
2016-10-28,121.2,122.48,120.81,121.58,9833545
2016-10-31,121.51,122.0,121.23,121.92,4722184
2016-11-01,122.8,123.21,122.57,122.74,10880532
2016-11-02,123.76,124.76,123.56,123.62,12444954
2016-11-03,123.36,124.33,123.35,124.28,7425187
2016-11-04,124.4,124.54,124.04,124.39,6043377
2016-11-07,122.65,122.71,121.88,122.13,6698231
2016-11-08,122.14,123.09,121.36,121.62,7909405
2016-11-09,124.3,124.35,121.105,121.54,15675731
2016-11-10,121.52,121.54,119.38,119.77,18224508
2016-11-11,119.65,119.69,116.23,117.07,18182885
2016-11-14,116.12,117.14,115.49,116.11,17221417
2016-11-15,116.46,117.24,116.29,117.09,7226136
2016-11-16,117.27,117.27,116.58,116.77,4536435
2016-11-17,116.91,117.22,115.44,116.15,8895174
2016-11-18,115.52,115.77,114.96,115.16,8028228
2016-11-21,115.74,115.94,115.29,115.57,5953123
2016-11-22,115.72,115.79,114.98,115.55,4106609
2016-11-23,113.87,113.88,112.65,113.24,17198348
2016-11-25,113.42,113.51,112.35,112.59,4449117
2016-11-28,113.23,113.84,112.77,113.78,4955519
2016-11-29,112.76,113.48,112.6901,113.27,3723195
2016-11-30,112.69,112.79,111.5,111.7601,8966284
2016-12-01,111.11,111.99,110.63,111.55,8017738
2016-12-02,111.89,112.32,111.78,112.11,5202585
2016-12-05,111.16,112.11,110.31,111.51,8437933
2016-12-06,111.69,112.03,111.19,111.41,4710565
2016-12-07,112.13,112.5,111.77,111.8,3936525
2016-12-08,111.72,111.8711,111.46,111.58,4519787
2016-12-09,111.18,111.25,110.19,110.41,9113998
2016-12-12,110.59,111.11,110.2659,110.795,5161105
2016-12-13,110.57,110.79,110.06,110.45,6492925
2016-12-14,110.95,110.98,108.52,108.88,11558281
2016-12-15,107.85,107.99,107.0,107.361,11383237
2016-12-16,107.95,108.78,107.475,108.01,8388062
2016-12-19,108.6,108.88,108.34,108.55,4279300
2016-12-20,107.47,107.997,107.2942,107.81,4515906
2016-12-21,108.25,108.3125,107.68,107.85,3154690
2016-12-22,107.68,108.1,107.49,107.57,4281842
2016-12-23,107.84,108.25,107.8,107.91,2962187
2016-12-27,108.61,108.67,108.24,108.55,2850598
2016-12-28,108.4,108.91,108.29,108.85,4640615
2016-12-29,109.23,110.53,109.16,110.29,6354554
2016-12-30,110.38,110.62,109.53,109.59,7031550
2017-01-03,109.62,111.0,109.37,110.49,6045804
