date,open,high,low,close,volume
2016-10-04,3.83,3.94,3.82536,3.83,980.21068394
2016-10-05,3.83,3.9,3.81,3.85,5161.65058588
2016-10-06,3.8441,3.91,3.77124,3.86532,1996.34405494
2016-10-07,3.84,3.86,3.78,3.82,2658.67566828
2016-10-08,3.82,3.87,3.8,3.86,645.51067042
2016-10-09,3.86,3.88359,3.8,3.86,1154.74449098
2016-10-10,3.86,3.88361,3.78675,3.8,1802.37060403
2016-10-11,3.80124,3.84,3.78278,3.79,589.32196488
2016-10-12,3.79,3.85566,3.75,3.83,1472.00934107
2016-10-13,3.83,3.87006,3.77279,3.8,571.95642028
2016-10-14,3.8,3.93071,3.8,3.83,2260.21716266
2016-10-15,3.90122,3.93532,3.82,3.82,360.84980141
2016-10-16,3.89,3.94,3.83,3.93,125.76706829
2016-10-17,3.94,3.94,3.85387,3.92236,78.6743311
2016-10-18,3.86,3.94,3.82,3.9,430.90614275
2016-10-19,3.84,3.91,3.8,3.9,1188.78974172
2016-10-20,3.84,3.87,3.75008,3.79,1537.22751524
2016-10-21,3.79,3.81,3.75098,3.8,643.89827148
2016-10-22,3.8,3.81,3.75,3.8,745.65489235
2016-10-23,3.79,3.93935,3.75,3.84,1297.5223863
2016-10-24,3.84,3.92362,3.7,3.88,5867.2851464
2016-10-25,3.88,3.91679,3.82,3.84115,668.0175935
2016-10-26,3.87,3.93444,3.8,3.85,1879.91357857
2016-10-27,3.87,3.98681,3.76,3.95921,2643.16181915
2016-10-28,3.96,4.15,3.9,4.02,2066.98573278
2016-10-29,4.02,4.02,3.8418,4.01,1905.64838435
2016-10-30,3.94,4.24,3.8423,4.02563,3342.28563938
2016-10-31,4.06,4.25,3.92,3.95,830.97159078
2016-11-01,3.92,4.07,3.92,3.98,493.37172161
2016-11-02,3.98,4.5,3.38715,4.12,6579.92754147
2016-11-03,4.12,4.35,3.99,4.19,1397.17971092
2016-11-04,4.15,4.34,3.8,3.91627,6402.90659877
2016-11-05,3.9,3.98,3.77,3.89,3103.71463855
2016-11-06,3.88,3.94,3.84061,3.91481,433.143914
2016-11-07,3.86,3.95986,3.85,3.91,463.19843826
2016-11-08,3.9,3.92,3.83,3.88,807.45256673
2016-11-09,3.88,3.91,3.83236,3.84,547.59177023
2016-11-10,3.84,3.99,3.77,3.98,3229.83952701
2016-11-11,3.82228,3.94,3.79,3.8,1019.33445185
2016-11-12,3.84,3.86,3.79,3.85,155.18143078
2016-11-13,3.81,3.85,3.72,3.76,3715.74653844
2016-11-14,3.77,3.94,3.6484,3.9,3972.78636564
2016-11-15,3.85,3.91,3.81,3.86,494.98099751
2016-11-16,3.86,3.96,3.84,3.92,1244.79443062
2016-11-17,3.93,4.06,3.85726,3.94,3169.97195277
2016-11-18,3.94,4.15,3.81,3.86,3842.19221003
2016-11-19,3.86,3.98637,3.85,3.87,547.83191858
2016-11-20,3.88,3.99,3.82003,3.95,1340.05317015
2016-11-21,3.90455,3.99,3.82001,3.89,754.41591193
2016-11-22,3.88,3.94967,3.85926,3.94959,155.23672811
2016-11-23,3.9498,3.99,3.86357,3.9,930.7586795
2016-11-24,3.93,3.97,3.86,3.92124,691.6706225
2016-11-25,3.89,3.93833,3.82965,3.86821,359.11022016
2016-11-26,3.89,3.9318,3.82675,3.9,441.84950258
2016-11-28,3.92618,3.92618,3.83145,3.89175,242.26803523
2016-11-29,3.89,3.92,3.81,3.8988,1007.67912556
2016-11-30,3.84,3.91,3.81,3.82,762.0078073
2016-12-01,3.83,3.98,3.51,3.85,1866.18365902
2016-12-02,3.88531,3.90973,3.84,3.88,288.76358941
2016-12-03,3.89,3.94,3.86524,3.91,641.9450436
2016-12-04,3.93414,3.93515,3.87,3.9,208.09669892
2016-12-05,3.89,3.92,3.86,3.87,441.01096645
