date,price,21_WK_MA
2018-06-29,6202.36,8368.92
2018-07-06,6600.00,8245.82
2018-07-13,6216.29,8147.20
2018-07-20,7334.46,7959.04
2018-07-27,8184.21,7825.21
2018-08-03,7414.08,7691.12
2018-08-10,6146.01,7603.46
2018-08-17,6585.49,7502.08
2018-08-24,6690.88,7390.57
2018-08-31,7015.01,7383.09
2018-09-07,6395.01,7401.95
2018-09-14,6478.04,7330.61
2018-09-21,6750.00,7216.88
2018-09-28,6620.01,7113.43
2018-10-05,6593.94,6967.48
2018-10-12,6188.01,6881.31
2018-10-19,6382.99,6783.67
2018-10-26,6404.87,6732.43
2018-11-02,6349.80,6679.60
2018-11-09,6334.89,6619.17
2018-11-16,5512.24,6616.48
2018-11-23,4283.80,6590.41
2018-11-30,3976.00,6499.05
2018-12-07,3380.01,6374.10
2018-12-14,3195.71,6239.04
2018-12-21,3839.06,6041.95
2018-12-28,3888.06,5835.04
2019-01-04,3820.25,5667.13
2019-01-11,3635.69,5556.38
2019-01-18,3607.85,5415.92
2019-01-25,3562.17,5269.11
2019-02-01,3437.50,5104.69
2019-02-08,3621.99,4963.85
2019-02-15,3566.59,4827.85
2019-02-22,3942.02,4676.26
2019-03-01,3806.17,4548.74
2019-03-08,3843.12,4415.98
2019-03-15,3902.80,4304.32
2019-03-22,3983.78,4186.22
2019-03-29,4091.01,4070.93
2019-04-05,5040.66,3963.37
2019-04-12,5078.19,3901.74
2019-04-19,5290.36,3881.07
2019-04-26,5159.51,3929.00
2019-05-03,5657.40,3985.36
2019-05-10,6343.14,4093.80
2019-05-17,7363.69,4243.68
2019-05-24,7994.88,4411.52
2019-05-31,8550.18,4607.08
2019-06-07,7992.17,4832.32
2019-06-14,8693.98,5039.77
2019-06-21,10175.88,5281.97
2019-06-28,12317.73,5596.91
2019-07-05,11038.61,6019.77
2019-07-12,11811.99,6372.95
2019-07-19,10548.04,6765.58
2019-07-26,9841.96,7080.16
2019-08-02,10533.07,7367.58
2019-08-09,11889.00,7686.14
2019-08-16,10368.83,8066.44
2019-08-23,10415.01,8370.49
2019-08-30,9580.60,8671.63
2019-09-06,10318.80,8887.82
2019-09-13,10381.91,9137.37
2019-09-20,10168.44,9379.83
2019-09-27,8193.98,9618.35
2019-10-04,8159.71,9739.14
2019-10-11,8263.64,9825.64
2019-10-18,7954.16,9868.50
2019-10-25,8704.85,9866.56
2019-11-01,9268.00,9873.92
2019-11-08,8758.69,9934.68
2019-11-15,8460.00,9937.76
2019-11-22,7296.45,9856.05
2019-11-29,7751.29,9616.94
2019-12-06,7560.76,9460.40
2019-12-13,7249.25,9257.96
2019-12-20,7189.87,9100.88
2019-12-27,7247.35,8974.59
2020-01-03,7335.54,8818.12
2020-01-10,8183.89,8601.29
2020-01-17,8875.81,8497.25
2020-01-24,8424.96,8423.95
2020-01-31,9343.28,8368.92
2020-02-07,9804.98,8322.47
2020-02-14,10380.00,8295.00
2020-02-21,9697.01,8305.07
2020-02-28,8713.16,8376.64
2020-03-06,9162.98,8403.00
2020-03-13,5592.77,8445.82
2020-03-20,6215.40,8333.38
2020-03-27,6320.46,8214.83
2020-04-03,6727.99,8074.47
2020-04-10,6892.54,7977.77
2020-04-17,7055.22,7903.13
2020-04-24,7514.64,7891.64
2020-05-01,8813.90,7880.37
2020-05-08,9790.23,7940.05
2020-05-15,9331.18,8061.05
2020-05-22,9173.23,8163.01
2020-05-29,9426.87,8254.72
2020-06-05,9568.95,8354.31
2020-06-12,9466.77,8420.26
2020-06-19,9285.54,8448.41
2020-06-26,9157.22,8489.39
2020-07-03,9050.05,8480.53
2020-07-10,9298.16,8444.58
2020-07-17,9147.65,8393.06
2020-07-24,9553.41,8366.90
2020-07-31,11372.76,8406.91
2020-08-07,11598.96,8512.14
2020-08-14,11785.29,8798.15
2020-08-21,11526.32,9063.38
2020-08-28,11540.00,9311.28
2020-09-04,10225.82,9540.42
2020-09-11,10399.99,9699.15
2020-09-18,10942.20,9858.43
2020-09-25,10693.30,10021.64
2020-10-02,10577.92,10111.14
2020-10-09,11059.30,10148.65
2020-10-16,11329.33,10230.94
2020-10-23,12943.03,10333.61
2020-10-30,13582.97,10501.05
2020-11-06,15596.33,10692.19
2020-11-13,16339.59,10984.07
2020-11-20,18702.87,11319.98
2020-11-27,17156.99,11774.54
2020-12-04,18692.32,12160.58
2020-12-11,18048.14,12607.92
2020-12-18,23169.26,13031.75
2020-12-25,24736.42,13680.13
2021-01-01,29391.09,14316.49
